title,category,location,description,keywords,start_date,start_time,end_date,end_time,alarm_date,alarm_time,alarm,recur_type,recur_end_date,recur_interval,recur_data
Passover,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/17/2003,12:00:00 AM,4/18/2003,12:00:00 AM,4/17/2003,,0,0
Lag B'Omer,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,5/27/2005,12:00:00 AM,5/28/2005,12:00:00 AM,5/27/2005,,0,0
Lag B'Omer,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,5/9/2004,12:00:00 AM,5/10/2004,12:00:00 AM,5/9/2004,,0,0
Lag B'Omer,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,5/20/2003,12:00:00 AM,5/21/2003,12:00:00 AM,5/20/2003,,0,0
Isru Hag (Sukkot),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/26/2005,12:00:00 AM,10/27/2005,12:00:00 AM,10/26/2005,,0,0
Isru Hag (Sukkot),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/8/2004,12:00:00 AM,10/9/2004,12:00:00 AM,10/8/2004,,0,0
Isru Hag (Sukkot),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/19/2003,12:00:00 AM,10/20/2003,12:00:00 AM,10/19/2003,,0,0
Isru Hag (Shavuot),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,6/14/2005,12:00:00 AM,6/15/2005,12:00:00 AM,6/14/2005,,0,0
Isru Hag (Shavuot),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,5/27/2004,12:00:00 AM,5/28/2004,12:00:00 AM,5/27/2004,,0,0
Isru Hag (Shavuot),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,6/7/2003,12:00:00 AM,6/8/2003,12:00:00 AM,6/7/2003,,0,0
Isru Hag (Passover),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,5/1/2005,12:00:00 AM,5/2/2005,12:00:00 AM,5/1/2005,,0,0
Isru Hag (Passover),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/13/2004,12:00:00 AM,4/14/2004,12:00:00 AM,4/13/2004,,0,0
Isru Hag (Passover),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/24/2003,12:00:00 AM,4/25/2003,12:00:00 AM,4/24/2003,,0,0
Hol H'Moed Sukkot (5th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/23/2005,12:00:00 AM,10/24/2005,12:00:00 AM,10/23/2005,,0,0
Hol H'Moed Sukkot (5th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/5/2004,12:00:00 AM,10/6/2004,12:00:00 AM,10/5/2004,,0,0
Hol H'Moed Sukkot (5th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/16/2003,12:00:00 AM,10/17/2003,12:00:00 AM,10/16/2003,,0,0
Hol H'Moed Sukkot (4th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/22/2005,12:00:00 AM,10/23/2005,12:00:00 AM,10/22/2005,,0,0
Hol H'Moed Sukkot (4th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/4/2004,12:00:00 AM,10/5/2004,12:00:00 AM,10/4/2004,,0,0
Hol H'Moed Sukkot (4th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/15/2003,12:00:00 AM,10/16/2003,12:00:00 AM,10/15/2003,,0,0
Hol H'Moed Sukkot (3rd day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/21/2005,12:00:00 AM,10/22/2005,12:00:00 AM,10/21/2005,,0,0
Hol H'Moed Sukkot (3rd day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/3/2004,12:00:00 AM,10/4/2004,12:00:00 AM,10/3/2004,,0,0
Hol H'Moed Sukkot (3rd day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/14/2003,12:00:00 AM,10/15/2003,12:00:00 AM,10/14/2003,,0,0
Hol H'Moed Sukkot (2nd day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/20/2005,12:00:00 AM,10/21/2005,12:00:00 AM,10/20/2005,,0,0
Hol H'Moed Sukkot (2nd day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/2/2004,12:00:00 AM,10/3/2004,12:00:00 AM,10/2/2004,,0,0
Hol H'Moed Sukkot (2nd day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/13/2003,12:00:00 AM,10/14/2003,12:00:00 AM,10/13/2003,,0,0
Hol H'Moed Sukkot (1st day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/19/2005,12:00:00 AM,10/20/2005,12:00:00 AM,10/19/2005,,0,0
Hol H'Moed Sukkot (1st day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/1/2004,12:00:00 AM,10/2/2004,12:00:00 AM,10/1/2004,,0,0
Hol H'Moed Sukkot (1st day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/12/2003,12:00:00 AM,10/13/2003,12:00:00 AM,10/12/2003,,0,0
Hol H'Moed Passover (5th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/29/2005,12:00:00 AM,4/30/2005,12:00:00 AM,4/29/2005,,0,0
Hol H'Moed Passover (5th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/11/2004,12:00:00 AM,4/12/2004,12:00:00 AM,4/11/2004,,0,0
Hol H'Moed Passover (5th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/22/2003,12:00:00 AM,4/23/2003,12:00:00 AM,4/22/2003,,0,0
Hol H'Moed Passover (4th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/28/2005,12:00:00 AM,4/29/2005,12:00:00 AM,4/28/2005,,0,0
Hol H'Moed Passover (4th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/10/2004,12:00:00 AM,4/11/2004,12:00:00 AM,4/10/2004,,0,0
Hol H'Moed Passover (4th day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/21/2003,12:00:00 AM,4/22/2003,12:00:00 AM,4/21/2003,,0,0
Hol H'Moed Passover (3rd day),Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/27/2005,12:00:00 AM,4/28/2005,12:00:00 AM,4/27/2005,,0,0
